kye_code,total_area_m2,area_m2_Nat,area_m2_Pref,area_m2_Muni,area_m2_Other
513243254_513243352,225.65946555137634,0.0,225.65946555137634,0.0,0.0
513243263_513243361,7353.502690704772,6529.203875345876,824.2988153588958,0.0,0.0
513243264_513243362,3065.657718771079,0.0,2184.0177105031325,881.6400082679465,0.0
513243273_513243371,6673.767035366327,2121.8409152554814,801.120046654949,3750.8060734558967,0.0
513243274_513243372_513243374,11054.343949526512,0.0,11054.343949526512,0.0,0.0
513243283_513243381_513243383,3109.2936012616847,3109.2936012616847,0.0,0.0,0.0
513243341,10044.541207504633,8169.11358009628,1640.4063980747014,235.02122933365172,0.0
513243341_513243343,365.01093493029475,0.0,365.01093493029475,0.0,0.0
513243341_513243343_513243344,5419.858376368182,5419.858376368182,0.0,0.0,0.0
513243342,979.3737201045733,0.0,489.2051225975156,490.1685975070577,0.0
513243342_513243344,4287.91566529125,892.7315444909036,2760.71650900878,634.467611791566,0.0
513243343,19709.65489349295,1374.0736448210664,3766.541929370509,14084.846367637278,484.19295166409574
513243343_513243344,3313.6734902394674,0.0,2782.828789930718,530.8447003087495,0.0
513243343_513243441,2572.145385497366,481.4926853363868,1309.5244038195815,781.1282963413978,0.0
513243344,33418.510928019125,4634.91324592552,14016.932360483377,13551.224681857231,1215.4406397529965
513243344_513243353,1415.9761401149444,382.3514283634722,452.3456866457127,581.2790251057595,0.0
513243344_513243353_513243451,134.57175911217928,0.0,0.0,134.57175911217928,0.0
513243344_513243442,4237.561032449377,679.226006160914,2067.2371995784342,1247.3238708121353,243.77395589789376
513243351,19538.93145848508,9450.03682047408,8564.211332543753,1524.683305467246,0.0
513243351_513243352,4470.573856022675,2312.125476475805,1472.5012901574373,685.9470893894322,0.0
513243351_513243353,7990.331613886374,6355.444090937468,1634.8875229489058,0.0,0.0
513243351_513243353_513243354,2730.191221007146,2730.191221007146,0.0,0.0,0.0
513243352,10493.705133656447,6596.338449534029,3897.3666841224185,0.0,0.0
513243352_513243353_513243354_513243361_513243434_513243441_513243442_513243443_513243451,34500.21324296633,34500.21324296633,0.0,0.0,0.0
513243352_513243354,12680.367801465618,9861.328405955399,2819.039395510219,0.0,0.0
513243352_513243354_513243361,10203.047267737333,10203.047267737333,0.0,0.0,0.0
513243352_513243361,907.6413101553917,0.0,907.6413101553917,0.0,0.0
513243353,16026.071059922597,5886.475836313097,6848.647851674028,3271.26872191485,19.678650020621717
513243353_513243354,2416.1851079843473,420.6017136720475,1995.5833943122998,0.0,0.0
513243353_513243354_513243451,6902.602508981223,6902.602508981223,0.0,0.0,0.0
