KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
513204612,1,,513204614,64,28,36,6,3,3,59,25,34,25,13,12,57,24,33,34,12,22,23,7,16,0,0,0,31,31,12,13,4,1,1,1,0,20,15,5,0,26,0,11,7
513204614,2,513204612,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204721,0,,,31,15,16,5,3,2,26,12,14,16,7,9,26,12,14,10,5,5,8,3,5,0,0,0,11,11,3,3,1,2,1,1,0,8,5,3,1,9,0,3,0
513204723,0,,,94,43,51,7,4,3,87,39,48,40,17,23,87,39,48,47,22,25,27,11,16,0,0,0,47,47,18,19,7,0,1,2,0,28,24,4,3,34,0,13,10
513204733,2,513204822,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204821,0,,,9,5,4,0,0,0,9,5,4,6,4,2,9,5,4,3,1,2,0,0,0,0,0,0,4,4,1,1,2,0,0,0,0,3,2,1,0,2,0,1,1
513204822,1,,513204733,54,21,33,0,0,0,56,22,34,12,6,6,56,22,34,44,16,28,36,14,22,0,0,0,31,31,13,15,3,1,0,0,0,19,17,2,0,30,0,13,12
513204831,2,513204834,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204832,2,513204834,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
