Column,大阪府,福岡,徳島県,広島県
id,o,o,o,o
lat,o,o,o,o
lon,o,o,o,o
meta_CALS:$_DTD_version,-,-,o,-
meta_CALS:base_info_application_guideline_criteria,-,-,o,-
meta_CALS:base_info_drawings_folder_name,-,-,o,-
meta_CALS:base_info_media_nb,-,-,o,-
meta_CALS:base_info_media_page_total,-,-,o,-
meta_CALS:base_info_releasable_delivery_folder_name,-,-,o,-
meta_CALS:base_info_report_folder_name,-,-,o,-
meta_CALS:base_info_report_original_file_folder_name,-,-,o,-
meta_CALS:client_info_organization_code,-,-,o,-
meta_CALS:client_info_organization_office_name,-,-,o,-
meta_CALS:client_info_work_office_division,-,-,o,-
meta_CALS:contractor_info_code,-,-,o,-
meta_CALS:contractor_info_name,-,-,o,-
meta_CALS:facility_info,-,-,o,-
meta_CALS:site_info_border_coordinates_east_border_longitude,-,-,o,-
meta_CALS:site_info_border_coordinates_north_border_latitude,-,-,o,-
meta_CALS:site_info_border_coordinates_south_border_latitude,-,-,o,-
meta_CALS:site_info_border_coordinates_west_border_longitude,-,-,o,-
meta_CALS:site_info_datum,-,-,o,-
meta_CALS:softmaker_tag,-,-,o,-
meta_CALS:work_info_BIMCIM_target,-,-,o,-
meta_CALS:work_info_ICON_target,-,-,o,-
meta_CALS:work_info_field_code,-,-,o,-
meta_CALS:work_info_work_content,-,-,o,-
meta_CALS:work_info_work_keyword,-,-,o,-
meta_CALS:work_info_work_overview,-,-,o,-
meta_CALS:work_name_etc_CORINS_number,-,-,o,-
meta_CALS:work_name_etc_CORINS_version_number,-,-,o,-
meta_CALS:work_name_etc_address_info_address,-,-,o,-
meta_CALS:work_name_etc_address_info_address_code,-,-,o,-
meta_CALS:work_name_etc_design_code,-,-,o,-
meta_CALS:work_name_etc_execution_end_date,-,-,o,-
meta_CALS:work_name_etc_execution_start_date,-,-,o,-
meta_CALS:work_name_etc_work_name,-,-,o,-
meta_DPF:address,o,o,-,-
meta_DPF:catalog_id,o,o,o,o
meta_DPF:catalog_title,o,o,o,o
meta_DPF:completion_datetime,-,-,o,-
meta_DPF:completion_datetime_originalform,-,-,o,-
meta_DPF:dataURLs,o,o,-,-
meta_DPF:dataset_id,o,o,o,o
meta_DPF:dataset_keywords,o,o,o,o
meta_DPF:dataset_title,o,o,o,o
meta_DPF:downloadURLs,-,-,-,o
meta_DPF:dpf_update_date,o,o,o,o
meta_DPF:erection_datetime,-,-,-,o
meta_DPF:erection_datetime_originalform,-,-,-,o
meta_DPF:id,o,o,o,o
meta_DPF:last_update_datetime,o,o,o,o
meta_DPF:last_update_datetime_originalform,o,o,o,o
meta_DPF:latitude,o,o,o,o
meta_DPF:longitude,o,o,o,o
meta_DPF:municipality_code,o,o,o,o
meta_DPF:municipality_name,o,o,o,o
meta_DPF:object_category,-,-,-,o
meta_DPF:ori_id,o,o,o,o
meta_DPF:prefecture_code,o,o,o,o
meta_DPF:prefecture_name,o,o,o,o
meta_DPF:related_count,o,o,o,o
meta_DPF:route_name,-,-,-,o
meta_DPF:theme,o,o,o,o
meta_DPF:title,o,o,o,o
meta_DPF:title_furigana,-,-,-,o
meta_DPF:year,o,o,o,o
meta_DPF:year_originalform,o,o,o,o
meta_NLNI:P14_001,o,o,-,-
meta_NLNI:P14_002,o,o,-,-
meta_NLNI:P14_003,o,o,-,-
meta_NLNI:P14_004,o,o,-,-
meta_NLNI:P14_005,o,o,-,-
meta_NLNI:P14_006,o,o,-,-
meta_NLNI:P14_007,o,o,-,-
meta_NLNI:P14_008,o,o,-,-
meta_NLNI:P14_009,o,o,-,-
meta_NLNI:P14_010,o,o,-,-
meta_RSDB:kanrisya_code,-,-,-,o
meta_RSDB:koushin_nichiji,-,-,-,o
meta_RSDB:shisetsu_id,-,-,-,o
meta_RSDB:shisetsu_kubun,-,-,-,o
meta_RSDB:syogen_fukuin,-,-,-,o
meta_RSDB:syogen_gyousei_kuiki_shikuchouson_code,-,-,-,o
meta_RSDB:syogen_gyousei_kuiki_shikuchouson_mei,-,-,-,o
meta_RSDB:syogen_gyousei_kuiki_todoufuken_code,-,-,-,o
meta_RSDB:syogen_gyousei_kuiki_todoufuken_mei,-,-,-,o
meta_RSDB:syogen_ichi_ido,-,-,-,o
meta_RSDB:syogen_ichi_keido,-,-,-,o
meta_RSDB:syogen_kanrisya_jimusyo,-,-,-,o
meta_RSDB:syogen_kanrisya_kubun,-,-,-,o
meta_RSDB:syogen_kanrisya_meisyou,-,-,-,o
meta_RSDB:syogen_kasetsu_nendo,-,-,-,o
meta_RSDB:syogen_kyouchou,-,-,-,o
meta_RSDB:syogen_rosen_meisyou,-,-,-,o
meta_RSDB:syogen_shisetsu_furigana,-,-,-,o
meta_RSDB:syogen_shisetsu_meisyou,-,-,-,o
meta_RSDB:tenken_kiroku_hantei_kubun,-,-,-,o
meta_RSDB:tenken_nendo,-,-,-,o
meta_RSDB:tenken_syuzen_sochi_joukyou,-,-,-,o
metadata,o,o,o,o
title,o,o,o,o
