順位,kye_code,交通量,人口,労働者数,床面積,合計道路面積,国道面積,県道面積,市道面積,その他面積,年齢構成（0-15）,年齢構成（15-65）,年齢構成（65以上）,必要度スコア
1,513243652,0,4862,4128,378800,59091,22808,25132,10462,689,10.8%,65.6%,19.1%,48.8
2,513243671,0,4770,3404,497056,54958,37237,16017,1695,9,9.1%,62.3%,20.2%,56.3
3,513243681,0,4764,3877,351209,68113,23905,15041,29148,20,15.3%,63.3%,17.0%,46.5
4,513243662,0,4674,3745,419412,62047,33595,23864,4557,32,7.2%,66.3%,16.5%,50.6
5,513243471,0,4672,3798,464445,43394,28688,7192,6974,541,12.3%,57.9%,27.4%,53.7
6,513243593,0,4609,3869,0,0,0,0,0,0,13.3%,63.9%,20.7%,22.2
7,513243362,0,4464,3920,325873,46651,11912,17375,13934,3430,20.3%,63.1%,15.9%,43.4
8,513243683,0,4171,3656,260300,53109,21959,9195,21771,185,11.8%,64.4%,16.4%,37.6
9,513243564,0,4118,3170,417691,47217,22530,22020,2444,224,13.5%,61.7%,17.9%,47.9
10,513243793,0,3943,2875,0,0,0,0,0,0,12.6%,54.4%,32.4%,19.0
11,513243773,0,3939,2925,252721,52519,28331,23057,1127,4,11.9%,60.9%,17.2%,35.9
12,513243972,0,3904,3102,311313,42936,10670,11312,19781,1173,15.6%,61.7%,21.5%,39.7
13,513243373,0,3874,3459,292224,41447,3833,5402,30374,1838,11.1%,62.4%,22.4%,38.3
14,513243873,0,3854,3222,277162,65683,14609,28810,21918,348,10.0%,66.7%,18.1%,37.2
15,513243781,0,3750,2700,225535,0,0,0,0,0,9.2%,60.3%,18.1%,33.2
16,513243452,0,3718,3007,276070,48847,7729,20119,20130,869,12.9%,59.1%,25.4%,36.4
17,513243554,0,3696,2908,299712,45132,7845,25325,11819,143,10.0%,60.1%,25.4%,37.9
18,513243784,0,3668,3068,199574,0,0,0,0,0,7.6%,64.4%,26.1%,31.1
19,513243674,0,3608,2824,213018,49517,41310,6299,1854,55,8.9%,63.3%,17.5%,31.7
20,513243661,0,3538,2792,257468,65917,28888,31727,5168,134,7.7%,63.0%,21.9%,34.3
21,513243563,0,3523,2722,312498,59978,26740,23706,9510,22,9.5%,61.9%,23.1%,37.9
22,513243682,0,3521,2717,256229,57936,20901,11731,25099,206,14.6%,58.0%,23.1%,34.1
