指標,年度,範囲合計,範囲平均,全体平均,最大値,最大値ID,最小値,最小値ID
交通量,2020,0,0,0,-,-,-,-
人口,2020,168354,2853,305,6918,513243754,34,513243764
労働者数,2020,132804,2251,321,6259,513243754,9,513243764
床面積,2020,13038777,228750,194250,497056,513243671,6725,513243762
合計道路面積,2020,2592158,46289,38590,74659,513243771,11022,513243862
国道面積,2020,1053765,18817,14844,41310,513243674,1738,513243842
県道面積,2020,980052,17501,13134,46356,513243751,4249,513243862
市道面積,2020,533339,9524,10353,22110,513243744,226,513243862
その他面積,2020,25001,532,784,3950,513243454,0,513243653
年齢構成（0-15）,2020,640.2%,10.9%,11.9%,29.4%,513243764,5.0%,513243762
年齢構成（15-65）,2020,3483.3%,59.0%,53.6%,67.5%,513243754,35.3%,513243764
年齢構成（65以上）,2020,1336.4%,22.7%,50.0%,42.3%,513243862,12.1%,513243462
必要度スコア,2020,1685.6,28.6,1.8,63.9,513243754,0.2,513243764
